,track_uri,popularity,danceability,energy,loudness,valence,speechiness,instrumentalness,tempo,album,trackName
459,7j56bK7gq6iV7zsD6lbP4J,67,0.787,0.741,-5.484,0.466,0.0592,1.88e-05,105.0,Ategban,Elle est bonne sa mère
460,5AmBIWCnsLscPSYsfCApBy,38,0.507,0.706,-6.395,0.403,0.173,2.37e-06,92.828,Indigo,"Closer (with Paul Blanco, Mahalia)"
461,6B8MM3PVQtUbZLay7tP7er,70,0.769,0.926,-1.627,0.551,0.0788,0.0,100.034,Hot Sauce - The 1st Album,Hot Sauce
462,72kxK8h09ZyJwaElUKyGsy,39,0.467,0.922,-3.223,0.538,0.119,1.87e-05,173.071,TREASURE EP. EXTRA: Shift The Map,Pirate King - Overload Mix
463,6f4wghlwYWGLqGEIKc6HDQ,60,0.813,0.667,-4.061,0.514,0.0616,0.0,111.02,Call My Name,You Calling My Name
464,0BJMgVrnWIvgYsjq8KaPeh,69,0.786,0.858,-3.74,0.649,0.0675,0.0,112.999,Formula of Love: O+T=<3,SCIENTIST
465,5BXr7hYZQOeRttkeWYTq5S,69,0.764,0.802,-4.217,0.323,0.0351,0.0,132.02,STAYDOM,ASAP
466,2OU8SjA9462FhrfqssKJJn,0,0.731,0.723,-5.955,0.534,0.0678,0.0,127.921,IN LIFE,"Wow (Lee Know, Hyunjin, Felix)"
467,3IAfUEeaXRX9s9UdKOJrFI,78,0.812,0.736,-5.421,0.396,0.0833,0.00254,91.993,Envolver,Envolver
468,2YeteVB8F8UkB5gmRPevLm,57,0.592,0.836,-6.171,0.283,0.0963,4.03e-05,160.199,THE WORLD EP.PARADIGM,Paradigm
469,1wcr8DjnN59Awev8nnKpQ4,77,0.599,0.869,-5.174,0.453,0.0618,0.0,132.889,BORDER : CARNIVAL,Drunk-Dazed
470,3oLXQgbcC34Oo4gFHCeTmi,61,0.619,0.931,-3.44,0.82,0.068,0.0,129.957,Elevate,Windows Down
471,5v15IF9D4nKZbto4US7Ar1,53,0.619,0.806,-1.276,0.619,0.101,8.51e-06,171.975,CHECKMATE,RACER
472,5OPgOXJ3uQsUQuTxuSeQBB,42,0.684,0.62,-6.247,0.219,0.0402,0.0,123.06,Glykeria,Mechri Na Vroume Ourano
473,6RioKpKPuG1vuyU0wnlAZx,0,0.716,0.906,-3.539,0.762,0.0717,0.0,101.028,Wings,21st Century Girl
474,63cd4JkwGgYJrbOizbfmsp,6,0.68,0.559,-5.545,0.137,0.129,0.0,202.006,Pure Water (with Migos),Pure Water (with Migos)
475,5sbkFKdxVQ2FgEjKMvrHAL,55,0.344,0.873,-3.387,0.307,0.221,0.0,170.041,Echo (with KSHMR),Echo (with KSHMR)
476,3ejAkJLWQSEJDqDXxK3efB,67,0.692,0.881,-2.563,0.432,0.0461,4.45e-06,103.053,reminiscence,DUN DUN
477,52Sj1SUJ6FNceKLZVggVak,59,0.765,0.929,-4.566,0.672,0.166,0.000223,144.03,ZERO : FEVER Part.2,The Leaders
478,7N17JE5sPConOSeEIC5AnS,55,0.821,0.726,-5.767,0.757,0.156,0.0,134.977,I KNOW,I KNOW
479,1Rrj7KyS2R6SP9CQMDJW1w,72,0.746,0.898,-2.818,0.879,0.0725,0.0,121.967,Love&Letter repackage album,VERY NICE
481,1JDhNQ0oOT7XpclZn3aQ8F,57,0.831,0.762,-5.656,0.495,0.207,0.0,99.999,Shoot For The Stars Aim For The Moon,West Coast Shit (feat. Tyga & Quavo)
482,1PckUlxKqWQs3RlWXVBLw3,83,0.836,0.743,-6.305,0.722,0.0656,0.0,108.966,About Damn Time,About Damn Time
484,4pN4uE4g6srE6376NDwMJP,57,0.803,0.838,-3.23,0.637,0.0858,0.011,91.986,LEGENDADDY,ZONA DEL PERREO
485,5FQ9NDyx3KZXhovWWq4Gxo,66,0.51,0.63,-6.997,0.569,0.0258,0.000485,89.812,Laurel Hell,Should've Been Me
486,6Dwtha2FtZFoMEBh5GR2sq,57,0.827,0.702,-7.264,0.694,0.267,5.04e-05,130.02,SweetSexySavage,CRZY
487,2qsQ8eVDPmobZpvDxQCVQu,66,0.917,0.679,-6.083,0.453,0.266,0.0,102.449,Barbie Tingz,Barbie Tingz
488,2bZIDMpzVooosmPHn0tHnd,70,0.605,0.805,-3.212,0.738,0.0641,0.0,148.298,STEREOTYPE,STEREOTYPE
489,4mFwA8AtXjuriVlQiRyeWr,49,0.768,0.818,-2.756,0.792,0.0381,6.22e-05,143.033,Voltage,Spice
490,2QdH0rKlV3d9Y6lWzcnlBH,1,0.847,0.814,-4.668,0.711,0.152,0.000507,140.057,GUESS WHO,In the morning
491,3mr6uMx3OzaqKMvk9csJm1,54,0.78,0.598,-4.062,0.882,0.101,0.0314,168.078,LEGENDADDY,LA OLA
492,01QhKtUc12FGw2wX7dMYvv,0,0.736,0.866,-3.053,0.533,0.211,2.13e-05,101.951,CRAZY IN LOVE,LOCO - English Ver.
493,5sbooPcNgIE22DwO0VNGUJ,72,0.566,0.769,-4.342,0.385,0.0872,0.0,170.036,POP/STARS,POP/STARS
494,18PergoIrGmRyeYxnaXJN2,2,0.738,0.861,-4.141,0.58,0.237,0.00182,131.98,KILL THIS LOVE,Kill This Love
496,0VYhxVxH9ijmdHUKsON9Bk,61,0.747,0.553,-7.294,0.262,0.117,0.0,141.888,The Perfect LUV Tape,SideLine Watching (Hold Up)
497,1ZDmxwg7Lywlx68b7SsJjj,62,0.893,0.641,-3.051,0.771,0.272,8.06e-05,94.017,MEGATRON,MEGATRON
498,4v0CuFW0bEMBQ1gRn2mB3X,55,0.68,0.738,-4.881,0.675,0.0331,0.00036,105.015,Sit Next to Me,Sit Next to Me - Stereotypes Remix
499,4SiwxGPQzlG2r4zatpEzLc,53,0.79,0.936,-4.251,0.71,0.0852,0.0,118.01,STEREOTYPE,SLOW DOWN
