,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,album_release_date,vibe,track_uri,artist_uri,genres
5649,Willie Nelson,Django and Jimmie,It's All Going to Pot,1efJ9Kx8Gx5DEAcx2btuRA,0.512,0.757,2,-8.458,1,0.0307,0.00555,0.169,0.929,165.944,176933,3,0.316,46,5/29/15,chill,1efJ9Kx8Gx5DEAcx2btuRA,5W5bDNCqJ1jbCgTxDD0Cb3,classic country pop
5650,Willie Nelson,Django and Jimmie,It's All Going to Pot,1efJ9Kx8Gx5DEAcx2btuRA,0.512,0.757,2,-8.458,1,0.0307,0.00555,0.169,0.929,165.944,176933,3,0.316,46,5/29/15,chill,1efJ9Kx8Gx5DEAcx2btuRA,5W5bDNCqJ1jbCgTxDD0Cb3,classic texas country
5651,Willie Nelson,Django and Jimmie,It's All Going to Pot,1efJ9Kx8Gx5DEAcx2btuRA,0.512,0.757,2,-8.458,1,0.0307,0.00555,0.169,0.929,165.944,176933,3,0.316,46,5/29/15,chill,1efJ9Kx8Gx5DEAcx2btuRA,5W5bDNCqJ1jbCgTxDD0Cb3,country
5652,Willie Nelson,Django and Jimmie,It's All Going to Pot,1efJ9Kx8Gx5DEAcx2btuRA,0.512,0.757,2,-8.458,1,0.0307,0.00555,0.169,0.929,165.944,176933,3,0.316,46,5/29/15,chill,1efJ9Kx8Gx5DEAcx2btuRA,5W5bDNCqJ1jbCgTxDD0Cb3,country rock
5653,Willie Nelson,Django and Jimmie,It's All Going to Pot,1efJ9Kx8Gx5DEAcx2btuRA,0.512,0.757,2,-8.458,1,0.0307,0.00555,0.169,0.929,165.944,176933,3,0.316,46,5/29/15,chill,1efJ9Kx8Gx5DEAcx2btuRA,5W5bDNCqJ1jbCgTxDD0Cb3,nashville sound
5654,Willie Nelson,Django and Jimmie,It's All Going to Pot,1efJ9Kx8Gx5DEAcx2btuRA,0.512,0.757,2,-8.458,1,0.0307,0.00555,0.169,0.929,165.944,176933,3,0.316,46,5/29/15,chill,1efJ9Kx8Gx5DEAcx2btuRA,5W5bDNCqJ1jbCgTxDD0Cb3,outlaw country
5655,Willie Nelson,Django and Jimmie,It's All Going to Pot,1efJ9Kx8Gx5DEAcx2btuRA,0.512,0.757,2,-8.458,1,0.0307,0.00555,0.169,0.929,165.944,176933,3,0.316,46,5/29/15,chill,1efJ9Kx8Gx5DEAcx2btuRA,5W5bDNCqJ1jbCgTxDD0Cb3,singer-songwriter
5656,Meg McRee,Is It Just Me?,Mary Jane & Chardonnay,1Oa10qvMw6KP7VYtJUcsLi,0.598,0.732,2,-3.803,1,0.0351,0.0,0.148,0.545,78.941,201120,4,0.0596,43,3/3/23,chill,1Oa10qvMw6KP7VYtJUcsLi,2XXRe7XAVLJZUUOjlEdssy,
5657,Haley Mae Campbell,Smoke It (Demo),Smoke It - Demo,5nNvU45Ngzvm29gNChh7mq,0.655,0.873,2,-4.101,1,0.0731,0.0,0.102,0.877,156.119,183077,4,0.308,39,9/2/22,chill,5nNvU45Ngzvm29gNChh7mq,2NDqx1z4TTkFr0QOnk8nX3,contemporary country
5658,Haley Mae Campbell,Smoke It (Demo),Smoke It - Demo,5nNvU45Ngzvm29gNChh7mq,0.655,0.873,2,-4.101,1,0.0731,0.0,0.102,0.877,156.119,183077,4,0.308,39,9/2/22,chill,5nNvU45Ngzvm29gNChh7mq,2NDqx1z4TTkFr0QOnk8nX3,country pop
