,track_uri,popularity,danceability,energy,loudness,valence,acousticness,speechiness,instrumentalness,tempo,genres,artist_uri
247,4IhKLu7Vk3j2TLmnFPl6To,77,0.723,0.504,-5.572,0.551,0.388,0.0392,7.4e-05,133.975,"['alt z', 'pop', 'pov: indie']",5IH6FPUwQTxPSXurCrcIov
248,0pdKRp2sUthTPe7RLWpPqQ,73,0.713,0.452,-9.638,0.235,0.841,0.0295,0.0038,102.963,"['indie pop', 'scandipop', 'swedish indie folk']",6GpcBKNmZDIrRzYkPJu7Wd
249,6bzwoiUt0s1KDOedyy4OtQ,62,0.531,0.683,-4.093,0.212,0.135,0.333,0.00265,84.817,"['hip pop', 'pop', 'queens hip hop', 'rap']",0hCNtLu0JehylgoiP8L4Gh
250,73fFRs03s0gtjggfMW213L,60,0.848,0.432,-10.262,0.656,0.761,0.0385,2.5e-05,120.0,"['indie viet', 'v-pop', 'vietnamese singer-songwriter']",2knyDFP4xw9wZEWA98JX6b
251,2hgzdQdnfWwtdpZbhZlV72,73,0.757,0.678,-5.529,0.82,0.0472,0.233,9.14e-06,120.075,"['dance pop', 'pop', 'urban contemporary']",2DlGxzQSjYe5N6G9nkYghR
252,0zCGKGZB5aySnQQSHWRGIT,59,0.613,0.5,-8.349,0.342,0.547,0.0277,0.000181,99.998,['v-pop'],2CLdtsyD2NsTOBBOVr7fi8
253,1QNoKVgA758HFLu3TW2q7R,62,0.757,0.884,-5.488,0.398,0.00795,0.0404,5.87e-05,120.012,"['pop', 'post-teen pop']",0C8ZW7ezQVs4URX5aX7Kqx
254,37FXw5QGFN7uwwsLy8uAc0,70,0.728,0.563,-8.053,0.352,0.621,0.134,0.0,100.017,"['pop', 'viral pop']",6VuMaDnrHyPL1p4EHjYLi7
255,3bH4HzoZZFq8UpZmI2AMgV,1,0.828,0.689,-7.878,0.853,0.325,0.0326,0.0384,123.931,"['neo mellow', 'singer-songwriter']",0hEurMDQu99nJRq8pTxO14
256,3Vo4wInECJQuz9BIBMOu8i,75,0.704,0.859,-4.877,0.926,0.0185,0.0996,0.0,105.115,"['dance pop', 'pop']",0du5cEVh5yTK9QJze8zA0C
257,7GxSshyjKx46dlIV2UoVrc,0,0.82,0.276,-9.715,0.332,0.85,0.0418,0.0,97.39,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese trap']",1LEtM3AleYg1xabW6CRkpi
258,1SJtlNRJDeYHioymcvsqev,71,0.334,0.617,-5.834,0.603,0.334,0.383,0.0,85.227,"['dance pop', 'pop']",4nDoRrQiYLoBzwC5BhVJzF
259,4HLnKxeTmOuyD81L4lX3t7,40,0.518,0.673,-10.083,0.171,0.407,0.04,8.45e-05,83.016,['irish pop'],25tMQOrIU4LlUo6Sv8v5SE
260,0GONea6G2XdnHWjNZd6zt3,83,0.508,0.834,-6.205,0.774,0.0183,0.0386,0.0,139.131,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']",3Z02hBLubJxuFJfhacLSDc
261,2VxeLyX666F8uXCJ0dZF8B,85,0.572,0.385,-6.362,0.323,0.371,0.0308,0.0,95.799,"['art pop', 'dance pop', 'pop']",1HY2Jd0NmPuamShAr6KMms
262,31MkGwj0SWgZaTvEt5Hgxv,57,0.386,0.594,-6.186,0.187,0.0252,0.0566,3.19e-06,113.756,"['dance pop', 'pop']",1KCSPY1glIKqW2TotWuXOR
263,68HocO7fx9z0MgDU0ZPHro,79,0.628,0.676,-4.227,0.723,0.393,0.0424,6.94e-05,78.996,['indonesian r&b'],2kxP07DLgs4xlWz8YHlvfh
264,1Hohk6AufHZOrrhMXZppax,76,0.545,0.641,-6.398,0.464,0.00453,0.0998,6.59e-05,121.892,"['pop', 'r&b']",6vWDO969PvNqNYHIOW5v0m
265,21jGcNKet2qwijlDFuPiPb,87,0.695,0.762,-3.497,0.553,0.192,0.0395,0.00244,120.042,"['dfw rap', 'melodic rap', 'pop', 'rap']",246dkjvS1zLTtiykXe5h60
266,5hkdfA87RZvNaxl6XiveOA,66,0.515,0.835,-3.564,0.457,0.00146,0.0293,0.000235,94.015,"['neo mellow', 'piano rock', 'pop rock']",53A0W3U0s8diEn9RhXQhVz
267,1ivCIgrYZyE0BvItL4Z8lk,64,0.59,0.572,-7.658,0.448,0.192,0.0379,0.0,179.989,"['c-pop', 'mandopop', 'taiwan pop', 'zhongguo feng']",2elBjNSdBE2Y3f0j1mjrql
268,7ef4DlsgrMEH11cDZd32M6,87,0.791,0.862,-3.24,0.592,0.037,0.11,2.19e-05,123.994,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",7CajNmpbOovFoOoasH2HaY
269,2dMJG9mGhuRePUKPvWBtei,0,0.772,0.814,-5.894,0.554,0.406,0.13,0.0,92.981,"['canadian contemporary r&b', 'canadian pop', 'pop']",1Xyo4u8uXC1ZmMpatF05PJ
270,1KGi9sZVMeszgZOWivFpxs,82,0.743,0.675,-4.267,0.59,0.0251,0.0953,0.000717,92.909,"['atl hip hop', 'contemporary r&b', 'dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']",0TImkz4nPqjegtVSMZnMRq
271,7opF2QJ8gzlxbV0eBIqszE,58,0.757,0.656,-6.285,0.502,0.211,0.0367,1.81e-06,105.99,"['v-pop', 'vietnamese hip hop']",5HZtdKfC4xU0wvhEyYDWiY
272,29he0Joo5sz2607A6ZBT6H,67,0.612,0.423,-8.062,0.18,0.588,0.0508,0.0,135.841,"['r&b', 'rap']",3Y7RZ31TRPVadSFVy1o8os
273,7noud145AHZGg74vpWOsCa,0,0.717,0.605,-5.68,0.387,0.214,0.075,0.0,81.047,"['r&b', 'rap', 'uk contemporary r&b']",7HkdQ0gt53LP4zmHsL0nap
274,4xigPf2sigSPmuFH3qCelB,77,0.603,0.615,-4.931,0.561,0.0799,0.165,6.72e-05,158.657,"['australian dance', 'australian pop', 'pop']",5WUlDfRSoLAfcVSX1WnrxN
275,4wCD0qOFNRu1Q6O3N6ycm4,68,0.57,0.664,-4.718,0.487,0.00836,0.0322,1.2e-05,162.084,"['idol', 'lds youth', 'post-teen pop', 'viral pop']",2C9n4tQgNLhHPhSCmdsQnk
276,02M6vucOvmRfMxTXDUwRXu,70,0.747,0.705,-5.137,0.56,0.0128,0.126,0.0,136.024,"['pop', 'r&b']",6vWDO969PvNqNYHIOW5v0m
277,6WLS56xiRrXjSm9RSdL3zD,0,0.583,0.732,-5.728,0.276,0.00312,0.0457,9.86e-06,145.992,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",1Xylc3o4UrD53lo9CvFvVg
278,688QpQAwqsLdBR6lr13wK1,65,0.731,0.774,-5.273,0.219,0.434,0.0555,3.34e-06,100.005,"['dfw rap', 'melodic rap', 'pop', 'rap']",246dkjvS1zLTtiykXe5h60
279,6DBu5cPU7bY6Ef28wFM4Ty,0,0.609,0.857,-4.756,0.683,0.586,0.0416,5.44e-06,102.002,['vietnamese hip hop'],6S0JgJU2l6ds1EhZUJMQFk
280,27NovPIUIRrOZoCHxABJwK,83,0.736,0.704,-7.409,0.894,0.0203,0.0615,0.0,149.995,['lgbtq+ hip hop'],7jVv8c5Fj3E9VhNjxT4snq
281,0ibp5h8QATkvC6P5cO5TUV,56,0.786,0.412,-8.717,0.537,0.749,0.0523,0.00249,119.897,['v-pop'],2aMo0CYbTieTisS0BlWc59
282,2VjtYe7gpfUi2OkGxR2O2z,0,0.767,0.671,-6.416,0.474,0.21,0.142,1.12e-05,128.072,['pop'],06HL4z0CvFAxyc27GXpf02
283,27SdWb2rFzO6GWiYDBTD9j,79,0.628,0.698,-5.608,0.732,0.0472,0.105,0.00143,89.976,"['australian dance', 'australian pop', 'pop']",5WUlDfRSoLAfcVSX1WnrxN
284,3Wrjm47oTz2sjIgck11l5e,85,0.714,0.8,-4.808,0.589,0.127,0.0504,0.0,134.002,"['indie rock italiano', 'italian pop', 'pop']",0lAWpj5szCSwM4rUMHYmrr
285,1Pw5C4N6Fn5E4mGCxmbbVa,70,0.4,0.564,-7.444,0.483,0.693,0.0523,0.0,99.269,"['pop', 'talent show', 'uk pop']",4IWBUUAFIplrNtaOHcJPRM
286,1D2L6MefbXon28PzIk9I3r,72,0.798,0.733,-4.811,0.861,0.265,0.0476,1.25e-06,146.046,"['dfw rap', 'melodic rap', 'pop', 'rap']",246dkjvS1zLTtiykXe5h60
