track_uri,popularity,danceability,energy,loudness,valence,speechiness,instrumentalness,tempo
0Rw4aFSwMEhtVLzmy2xr5v,30,0.446,0.418,-8.852,0.233,0.0286,0.0,145.04
0ju1jP0cSPJ8tmojYBEI89,65,0.505,0.258,-12.193,0.641,0.0297,0.0,141.003
0mZ5GyrHG908lqrHaTw4hi,71,0.641,0.552,-5.423,0.152,0.0283,4.63e-06,90.098
0w6qnStMvC77oV25dTSiYg,52,0.43,0.56,-9.62,0.391,0.0268,0.000107,72.238
4BM8yJ0PzBi2ZewpMTOxtx,70,0.354,0.535,-8.876,0.434,0.0303,2.9e-06,110.821
3GXrjXQlTK1wa2gLEdviwm,33,0.633,0.607,-4.184,0.298,0.0314,0.0,125.888
1nAexCn3dPoFSmE7h6P5S7,64,0.591,0.345,-11.007,0.264,0.0391,1.87e-06,119.333
1pNcUexH7BdMFWFaxV3ltq,60,0.754,0.715,-4.434,0.405,0.0525,0.0,100.001
3rQjc4GGMcrtXwis7vBzaQ,58,0.562,0.219,-13.2,0.106,0.0312,0.000296,127.831
1Su4HXSrbzj02CPBOoVLli,52,0.655,0.445,-7.703,0.126,0.03,0.0,145.989
7ByxizhA4GgEf7Sxomxhze,72,0.637,0.651,-7.089,0.485,0.0521,0.0,115.926
5SAckbSHhNJ41b3bn5XwPL,55,0.596,0.576,-7.636,0.159,0.103,0.0,107.963
11y8GSP2ASv8S9n0FiiDva,60,0.452,0.313,-9.309,0.344,0.026,2.6e-05,75.806
17OcYtOhsN5zcrX3Q1TY9X,39,0.384,0.598,-4.842,0.154,0.0308,0.0,167.899
04N18CfIbOJPnVLGOKgJNB,47,0.63,0.514,-8.005,0.477,0.0521,0.0,89.128
5RdhBLmB4DyFHLglRrfx63,66,0.51,0.515,-7.247,0.331,0.0253,1.24e-06,93.212
3ZjnFYlal0fXN6t61wdxhl,54,0.285,0.371,-6.833,0.372,0.0295,0.00392,154.989
