,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,album_release_date,vibe
1863,Luna Bauer,Liminal ride,Liminal ride,7zVpXNJWZTx9VFGsASdvDb,0.321,0.0269,4,-27.988,1,0.0312,0.891,0.105,0.193,90.174,156706,4,0.989,68,11/25/22,chill
1864,Amine Ayad,Morning Dance,Morning Dance,73uDJDqIcF5QQWXZ19rH8z,0.402,0.0619,8,-23.399,1,0.0361,0.933,0.111,0.14,65.875,115124,4,0.984,66,11/4/22,chill
1865,Kye Wood,Chichiro,Chichiro,1RJ5iNyOaBhTHNMVn2HnkH,0.505,0.0142,0,-29.905,1,0.041,0.904,0.119,0.171,81.264,109000,4,0.993,65,3/10/23,chill
1866,Boil The Ocean,A Place To Hide,A Place To Hide,0eMa3P0kQJjYqguUgKFt4y,0.435,0.0405,2,-25.515,1,0.0313,0.905,0.0954,0.129,78.151,147507,4,0.992,65,3/3/23,chill
1867,Fernando Alegre,Poesia,Poesia,7F6hlMdM7OrUw8C1W4pjAC,0.641,0.0114,6,-27.475,1,0.0458,0.964,0.106,0.483,80.989,125249,3,0.996,66,1/20/23,chill
1868,Elisa Avaria,Amor Eterno,Amor Eterno,4uHzzAb1p6gK5unlp64Vrg,0.442,0.0719,7,-28.528,0,0.0346,0.874,0.114,0.326,83.794,155175,3,0.994,69,10/21/22,chill
1869,Roger Eno,Through The Blue (Piano Version),Through The Blue - Piano Version,5gbZe9oyXXQDMLXFGsR4YC,0.441,0.00957,7,-26.839,1,0.0308,0.884,0.0954,0.373,75.403,225495,4,0.987,66,3/29/23,chill
1870,Noemi Lucas,Sun sinking at dusk,Sun sinking at dusk,5Y223UTPJjOIDVS2vs73g0,0.414,0.0257,9,-28.816,1,0.0375,0.896,0.0869,0.21,103.102,153306,4,0.995,65,1/27/23,chill
1871,Frederico Morales,The Old Oak Tree,At The End Of The Day,3x16lncPJzr2VDTtVrPpgj,0.481,0.0246,0,-24.192,1,0.0393,0.955,0.11,0.127,100.305,131951,4,0.991,65,1/6/23,chill
1872,Jakob München,Me Time,Me Time,15ErabbOFwo4gEknWytsAG,0.723,0.253,3,-25.567,1,0.0562,0.953,0.0956,0.19,86.956,116207,4,0.992,65,3/9/23,chill
1873,Davignon,Quiet Eyes,Quiet Eyes,2oafUifmaR1uBS3o9o7uLO,0.345,0.0305,6,-24.169,0,0.0326,0.935,0.1,0.137,162.612,141451,4,0.987,66,2/24/23,chill
1874,Ivan Blois,Gently falling rain,Gently falling rain,1KCIBiCtznGzZWuB1IWHJk,0.557,0.0177,7,-26.803,1,0.0564,0.965,0.0996,0.397,135.228,127500,4,0.995,63,3/24/23,chill
1875,Nadav Amir-Himmel,Benediction,Benediction,0vebajCQqWh9EQ5wAYguqo,0.375,0.0662,7,-26.344,0,0.0483,0.922,0.131,0.214,117.282,143920,4,0.995,65,10/7/22,chill
1876,Chad Lawson,fields of forever (sleep rework),fields of forever - sleep rework,1g3qZv1GGqwMBrXzogTpTx,0.663,0.0132,10,-33.243,1,0.046,0.953,0.0887,0.327,120.107,221703,4,0.995,65,2/17/23,chill
1877,Crimson Memoirs,Omoidasu,Omoidasu,6t2Gwyci8Q6WPQMtzTMNh6,0.309,0.0599,9,-29.964,1,0.0692,0.932,0.106,0.382,79.049,117893,3,0.994,65,2/24/23,chill
1878,Valeria Pintile,Matterello,Matterello,1fBfm3eA3qgQvJlT4VPwjC,0.398,0.0287,6,-26.752,1,0.0383,0.918,0.096,0.084,90.153,170122,4,0.981,57,4/21/23,chill
1879,Herbe Matin,Act Of Reconciling,Act Of Reconciling,3iTgM3cDPpZCQ4GL1pP0Ss,0.469,0.0029,8,-40.436,1,0.0525,0.939,0.135,0.509,116.219,143400,4,0.992,66,12/23/22,chill
1880,Alonzo Gautier,Tôt le matin,Tôt le matin,5TRzmeTTbtVrsblB0HTZn7,0.495,0.084,1,-24.684,1,0.0735,0.968,0.102,0.453,69.216,130890,4,0.995,66,11/25/22,chill
1881,Christian Peterson-Bergling,Midsommarnatt,Sommarvals,0tL0JB08d5De5zBko245Y8,0.352,0.0464,1,-27.631,1,0.0307,0.879,0.107,0.339,98.943,176557,4,0.973,64,8/19/22,chill
1882,Wilson Trouvé,Take care,Take care,244BGt6n916G7NdoOUKSsX,0.412,0.0451,5,-30.732,1,0.0419,0.932,0.103,0.762,170.149,128932,3,0.992,64,1/20/23,chill
1883,Anton Lindholm,Ved,Ved,75XNNOrKVTwJ1lEGbE1a8q,0.259,0.0424,7,-28.504,0,0.0406,0.892,0.103,0.3,205.672,137071,4,0.995,64,1/20/23,chill
1884,Hideyuki Hashimoto,piano room,Koto - piano room,48Jivh6jAj87eK6lj3FtUo,0.445,0.0367,1,-31.319,1,0.0433,0.944,0.0896,0.13,75.396,150833,3,0.991,64,11/25/22,chill
1885,Carl Faber,The stars are listening,The stars are listening,4ZcUrMyRwkK3lH82VV6HbP,0.427,0.00626,4,-28.056,1,0.0506,0.939,0.0909,0.406,63.282,111500,4,0.995,61,3/31/23,chill
1886,Noomi Meerbach,Passages,Days Passing By,6yFNVbbhoPzPmGCYZWlFcw,0.362,0.0317,2,-24.252,1,0.0496,0.964,0.0994,0.329,81.007,159440,4,0.993,64,12/5/22,chill
1887,Mirta da Silva,Twilights,Twilights,10qZCmeusg6BbdHDTMADpr,0.396,0.0281,2,-30.963,1,0.0333,0.878,0.103,0.296,100.61,137647,4,0.994,64,1/27/23,chill
1888,Cinthya Garcia,Together Again,Together Again,5Nx2GkAaDfh18aZ99OyctW,0.364,0.064,9,-24.643,1,0.0384,0.925,0.0971,0.403,131.662,121750,4,0.993,63,11/25/22,chill
1889,Nate LaFleur,Tomorrow,Tomorrow,2QvgJkZmnXdozvMMgfohJp,0.289,0.034,3,-32.438,1,0.0346,0.884,0.108,0.141,122.271,154875,4,0.967,63,1/20/23,chill
1890,Listening Wind,Peaceful Thoughts,Peaceful Thoughts,5xm1Ot6JDIp5r9SFM6XQrW,0.377,0.0226,5,-22.748,1,0.0394,0.941,0.121,0.159,164.635,140602,4,0.989,64,1/13/23,chill
1891,Nora Gray,If You Should Go,If You Should Go,4EQRrRdoQ8vC4ULe8Kygpw,0.611,0.0126,7,-26.619,1,0.0671,0.94,0.107,0.263,68.395,127538,4,0.996,64,1/20/23,chill
1892,Ryley Moss,Eclipsis,Eclipsis,2vcdqUMFMbKYvqzBYsVZDn,0.375,0.0141,11,-26.919,1,0.0365,0.94,0.0915,0.0443,107.309,146079,4,0.991,61,4/7/23,chill
1893,Aquilegia,Reflections,Reflections,6jkQJB7iKoYFZanJuXlnUf,0.316,0.0319,6,-29.428,1,0.0511,0.92,0.0926,0.223,175.256,113986,4,0.992,65,3/10/23,chill
1894,Oscar Sundberg,Ballade Pour Elly,Ballade Pour Elly,0p6olbVHkNaijGRG6IDEnK,0.456,0.0555,3,-22.393,1,0.0636,0.96,0.136,0.38,145.477,243209,4,0.992,61,4/7/23,chill
1895,Gaspar Parentau,Léopoldine,Léopoldine,5DWI8rBs9a5fyeR35poYYm,0.527,0.0338,7,-26.245,1,0.0832,0.969,0.184,0.179,67.807,165294,4,0.996,63,11/11/22,chill
1896,Aeyes Libe,Periferi,Periferi,3XQE7ZJGVZTcPcZMZslJk5,0.49,0.0207,7,-26.438,0,0.036,0.924,0.134,0.408,99.583,144125,3,0.994,63,1/6/23,chill
