,track_uri,artist_uri,genres
597,5xYwXcbCwdmLeOweJtJhEx,36eSjIksD6fehqxyDUHDA3,comedy
598,2SpEHTbUuebeLkgs9QB7Ue,32vWCbZh0xZ4o9gkz4PsEU,classic country pop
598,2SpEHTbUuebeLkgs9QB7Ue,32vWCbZh0xZ4o9gkz4PsEU,country
598,2SpEHTbUuebeLkgs9QB7Ue,32vWCbZh0xZ4o9gkz4PsEU,country dawn
599,1EHUQesfVKwbthtNcpBi9g,2tIP7SsRs7vjIcLrU85W8J,australian hip hop
600,4wgS4pen0Kej9PafGhUhMJ,2QOIawHpSlOwXDvSqQ9YJR,baroque
600,4wgS4pen0Kej9PafGhUhMJ,2QOIawHpSlOwXDvSqQ9YJR,classical
600,4wgS4pen0Kej9PafGhUhMJ,2QOIawHpSlOwXDvSqQ9YJR,early music
600,4wgS4pen0Kej9PafGhUhMJ,2QOIawHpSlOwXDvSqQ9YJR,italian baroque
601,5TNX6rJ91T8PdEt94X50Y9,4iJLPqClelZOBCBifm8Fzv,modern rock
601,5TNX6rJ91T8PdEt94X50Y9,4iJLPqClelZOBCBifm8Fzv,pop punk
601,5TNX6rJ91T8PdEt94X50Y9,4iJLPqClelZOBCBifm8Fzv,screamo
602,1gJOqXpRjz9GeEEwQpcujK,3pFCERyEiP5xeN2EsPXhjI,album rock
602,1gJOqXpRjz9GeEEwQpcujK,3pFCERyEiP5xeN2EsPXhjI,blues rock
602,1gJOqXpRjz9GeEEwQpcujK,3pFCERyEiP5xeN2EsPXhjI,classic rock
602,1gJOqXpRjz9GeEEwQpcujK,3pFCERyEiP5xeN2EsPXhjI,folk rock
602,1gJOqXpRjz9GeEEwQpcujK,3pFCERyEiP5xeN2EsPXhjI,heartland rock
602,1gJOqXpRjz9GeEEwQpcujK,3pFCERyEiP5xeN2EsPXhjI,mellow gold
602,1gJOqXpRjz9GeEEwQpcujK,3pFCERyEiP5xeN2EsPXhjI,rock
602,1gJOqXpRjz9GeEEwQpcujK,3pFCERyEiP5xeN2EsPXhjI,singer-songwriter
602,1gJOqXpRjz9GeEEwQpcujK,3pFCERyEiP5xeN2EsPXhjI,soft rock
603,07RmHXaYqBdUyfAESPZkRO,1eEfMU2AhEo7XnKgL7c304,adult standards
603,07RmHXaYqBdUyfAESPZkRO,1eEfMU2AhEo7XnKgL7c304,mellow gold
603,07RmHXaYqBdUyfAESPZkRO,1eEfMU2AhEo7XnKgL7c304,soft rock
